AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
168.34,168.34,1497.05,1006.94,152.19,34.87,10.0,89.47,157.48,235.57,2.5,86.05
172.77,172.77,1555.86,1054.09,160.06,35.99,10.44,93.78,158.01,233.66,2.33,87.5
164.94,164.94,1495.56,1026.55,159.39,35.17,10.63,87.18,154.98,232.81,2.18,85.42
168.845,168.845,1544.1,1053.15,164.89,36.35,10.91,89.79,157.04,230.37,2.3,87.14
171.27,171.27,1581.86,1094.0,169.39,37.58,11.26,92.48,158.66,231.34,2.32,88.18
175.24,175.24,1586.51,1095.8,168.15,36.89,11.11,93.13,159.38,238.26,2.29,87.95
175.3,175.3,1544.93,1100.07,172.56,37.01,11.43,92.89,159.01,235.63,2.33,87.45
178.02,178.02,1571.68,1134.42,185.09,37.94,11.47,94.6,162.36,234.0,2.32,89.17
178.65,178.65,1582.32,1150.61,183.86,37.85,11.46,94.18,161.61,234.09,2.26,87.51
178.44,178.44,1591.0,1148.89,184.19,37.69,11.36,93.85,158.24,231.49,2.42,87.67
179.97,179.97,1588.18,1139.91,181.88,38.01,11.635,94.41,158.22,229.36,2.55,88.3
181.72,181.72,1598.39,1165.93,184.76,37.83,11.52,96.77,157.74,227.4,2.44,88.07
179.98,179.98,1578.89,1160.84,185.23,37.84,11.7,96.54,157.24,228.39,2.56,88.72
176.94,176.94,1551.86,1129.38,182.34,37.84,11.97,94.43,154.44,230.05,2.43,87.92
175.03,175.03,1545.0,1115.04,183.71,37.3647723705,12.24,93.86,152.38,230.31,2.42,87.74
176.67,176.67,1537.64,1100.9,179.78,37.5528833072,11.76,93.32,151.2,232.22,2.46,89.06
176.82,176.82,1523.61,1094.76,180.4,37.3647723705,11.91,93.64,151.03,232.23,2.55,89.98
176.21,176.21,1500.25,1084.14,176.62,37.0578545264,11.81,93.05,148.27,230.18,2.73,88.77
175.0,175.0,1493.45,1071.41,175.94,37.4142752486,11.9,92.85,155.7,230.19,2.47,89.08
178.12,178.12,1512.45,1103.92,178.32,39.35,12.11,93.77,157.74,231.02,2.42,90.01
178.39,178.39,1511.98,1117.51,181.46,40.17,12.53,94.2,160.66,234.74,2.57,91.52
178.97,178.97,1521.95,1143.7,184.93,41.54,12.42,95.42,163.58,232.94,2.58,93.12
175.555,175.555,1500.0,1128.09,183.29,40.91,12.07,94.06,163.06,237.92,2.43,92.89
172.6,172.6,1484.76,1109.9,178.99,40.91,11.84,91.74,160.66,234.65,2.33,92.77
171.07,171.07,1482.92,1113.75,177.91,40.56,11.72,91.49,158.64,221.55,2.36,91.52
171.85,171.85,1468.35,1103.59,176.01,40.77,12.02,92.72,157.16,221.32,2.33,94.11
172.43,172.43,1448.69,1095.5,177.36,41.09,11.82,92.0,157.79,219.24,2.61,104.78
172.99,172.99,1461.76,1091.36,179.96,41.85,12.181,92.66,160.78,218.27,2.63,103.23
167.37,167.37,1451.05,1072.7,179.52,41.81,12.2,90.81,159.99,217.75,2.3,101.7
164.34,164.34,1414.51,1054.14,173.15,41.4,11.78,89.83,162.4,218.72,2.27,100.98
162.71,162.71,1386.23,1054.56,176.41,42.0,11.68,89.13,163.9,217.72,2.07,99.55
155.97,155.97,1338.99,1043.43,175.98,41.46,11.305,88.1,160.8,217.59,2.155,99.37
155.32,155.32,1350.47,1005.6,171.5499,40.75,11.215,84.89,158.97,216.51,2.12,100.02
159.54,159.54,1416.78,1055.41,180.18,42.39,11.6,89.61,165.71,216.75,2.26,102.85
163.03,163.03,1442.84,1084.43,185.31,41.86,11.64,91.33,165.18,216.68,2.28,100.9
157.49,157.49,1396.62,1068.76,182.65,39.54,11.53,89.05,163.85,216.52,2.225,100.09
160.37,160.37,1431.0,1119.2,190.28,41.0,12.45,91.78,169.38,216.37,2.345,104.48
167.78,167.78,1390.0,1181.59,193.09,42.43,13.25,94.26,171.9,216.52,2.49,105.52
167.43,167.43,1451.65,1182.22,186.89,42.41,13.735,95.01,171.14,214.57,2.57,106.6
166.97,166.97,1437.82,1177.37,187.12,42.7,12.865,92.74,172.48,212.76,2.66,107.73
167.96,167.96,1417.68,1186.48,185.98,43.02,13.32,93.92,177.77,209.9,2.57,109.55
171.51,171.51,1402.05,1187.56,190.0,43.49,12.95,94.06,178.36,209.55,2.54,108.39
171.11,171.11,1377.95,1182.14,187.48,43.16,12.41,92.33,175.66,209.48,2.78,106.6
174.22,174.22,1357.51,1171.29,186.55,44.16,12.71,91.82,176.12,211.03,3.14,105.79
177.04,177.04,1362.54,1176.17,189.35,43.38,12.94,91.9,176.81,210.73,3.41,105.9
177.0,177.0,1327.31,1164.16,185.37,43.29,12.64,91.61,176.21,210.76,3.45,105.45
178.46,178.46,1294.58,1143.5,181.29,43.15,12.59,90.0,176.12,210.44,3.63,104.59
179.26,179.26,1293.32,1135.97,179.8,43.86,12.47,90.1,174.57,210.51,3.67,104.3
179.1,179.1,1295.0,1139.1,177.6,44.03,12.18,90.14,174.98,213.56,3.51,102.7
176.19,176.19,1304.86,1130.7,178.39,44.19,11.91,88.35,173.68,213.76,3.52,100.69
177.09,177.09,1305.2,1130.65,179.37,44.07,12.02,89.58,173.57,213.35,3.6,100.87
175.28,175.28,1276.68,1111.88,187.77,44.19,12.1404,88.08,173.39,211.43,3.32,100.02
